"MajorFolder","Path","LastUpdated","Commit","Author","Subject"
"android-app","android-app/app/src/main/cpp/llama.cpp/cmake/license.cmake","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/cmake/llama-config.cmake.in","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/cmake/llama.pc.in","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/cmake/riscv64-spacemit-linux-gnu-gcc.cmake","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/cmake/x64-windows-llvm.cmake","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/CMakeLists.txt","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/arg.cpp","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/arg.h","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/base64.hpp","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/build-info.cpp.in","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/chat-auto-parser-generator.cpp","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/chat-auto-parser-helpers.cpp","2026-05-25T07:38:54+08:00","d0f85c9","Gean Dhylan E. Mapesos","Clean llama.cpp vendor whitespace"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/chat-auto-parser-helpers.h","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/chat-auto-parser.h","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/chat-diff-analyzer.cpp","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/chat-peg-parser.cpp","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/chat-peg-parser.h","2026-05-25T07:38:54+08:00","d0f85c9","Gean Dhylan E. Mapesos","Clean llama.cpp vendor whitespace"
"android-app","android-app/app/src/main/cpp/llama.cpp/common/chat.cpp","2026-05-25T07:37:00+08:00","af05997","Gean Dhylan E. Mapesos","Update llama.cpp vendor for mtmd"
